Location	Insurgent
syria_PROPN	Sdf_PROPN
India_PROPN	UNLF_NOUN
Afghanistan_PROPN	Islamic::state_PROPN
syria_PROPN	Islamic::state_PROPN
Philippine_NOUN	Islamic::state_PROPN
Pakistan_PROPN	Islamic::state_PROPN
Libya_PROPN	Islamic::state_PROPN
egypt_PROPN	Islamic::state_PROPN
Cameroon_PROPN	Islamic::state_PROPN
jordan_PROPN	Islamic::state_PROPN
Bangladesh_PROPN	Islamic::state_PROPN
Turkey_PROPN	Islamic::state_PROPN
Ukraine_PROPN	Donetsk_PROPN
Ukraine_PROPN	Luhansk_PROPN
Niger_PROPN	Islamic::state_PROPN
Mali_PROPN	Ansar::Dine_PROPN
Mali_PROPN	AQIM_INTJ
Kenya_PROPN	al-Shabaab_PROPN
Nigeria_PROPN	Islamic::state_PROPN
russia_PROPN	Islamic::state_PROPN
Iran_PROPN	Kurds_PROPN
Tunisia_PROPN	Islamic::state_PROPN
India_PROPN	Kashmiri_PROPN
syria_PROPN	Syrians_NOUN
Turkey_PROPN	Pkk_PROPN
Myanmar_PROPN	Kia_PROPN
Somalia_PROPN	al-Shabaab_PROPN
Afghanistan_PROPN	Taliban_PROPN
India_PROPN	Cpi-m_PROPN
Mozambique_PROPN	Renamo_PROPN
Pakistan_PROPN	Uba_PROPN
Pakistan_PROPN	Bla_PROPN
Iraq_NOUN	Islamic::state_PROPN
Uganda_PROPN	Adf_PROPN
Sudan_PROPN	Srf_PROPN
Philippine_NOUN	Maute_PROPN
Philippine_NOUN	ASG_PROPN
Colombia_PROPN	Eln_PROPN
Rwanda_PROPN	Fdlr_PROPN
Yemen_PROPN	Hadi_PROPN
Algeria_PROPN	AQIM_INTJ
Philippine_NOUN	CPP_PROPN
Usa_PROPN	al-Qaida_PROPN
Turkey_PROPN	Tak_PROPN
Pakistan_PROPN	TTP_PROPN
Azerbaijan_PROPN	Nagorno-Karabakh_PROPN
Myanmar_PROPN	Rohingya::Muslim_PROPN
