Location	Insurgent
russia_PROPN	Chechen_PROPN
India_PROPN	Kashmiri_PROPN
Mozambique_PROPN	Renamo_PROPN
Algeria_PROPN	AQIM_INTJ
Turkey_PROPN	Pkk_PROPN
syria_PROPN	PYD_PROPN
Mali_PROPN	Ansar::Dine_PROPN
Mali_PROPN	Mujao_PROPN
Mali_PROPN	AQIM_INTJ
Usa_PROPN	al-Qaida_PROPN
central::african:Republic_PROPN	Seleka_PROPN
central::african:Republic_PROPN	anti-balaka_NOUN
Somalia_PROPN	al-Shabaab_PROPN
syria_PROPN	Islamic::state_PROPN
Malaysia_PROPN	Sulu_NOUN
Afghanistan_PROPN	Taliban_PROPN
Pakistan_PROPN	TTP_PROPN
Philippine_NOUN	MNLF_NOUN
Philippine_NOUN	ASG_PROPN
Congo_PROPN	Katanga_PROPN
Congo_PROPN	m23_NOUN
Iraq_NOUN	Islamic::state_PROPN
Uganda_PROPN	Adf_PROPN
Uganda_PROPN	Lra_PROPN
Sudan_PROPN	SRF_NOUN
India_PROPN	Cpi-m_PROPN
Colombia_PROPN	Eln_PROPN
Colombia_PROPN	Farc_PROPN
Philippine_NOUN	CPP_PROPN
Pakistan_PROPN	Bla_PROPN
syria_PROPN	Syrians_NOUN
Myanmar_PROPN	Kia_PROPN
Yemen_PROPN	AQAP_PROPN
