Location	Insurgent
Philippine_NOUN	Sayyaf_NOUN
Philippine_NOUN	MILF_NOUN
russia_PROPN	Chechen_PROPN
Pakistan_PROPN	TTP_PROPN
Tajikistan_PROPN	Imu_NOUN
Ethiopia_PROPN	ONLF_NOUN
Uganda_PROPN	Lra_PROPN
India_PROPN	Kashmiri_PROPN
syria_PROPN	Syrians_NOUN
Sudan_PROPN	South::Sudan_PROPN
Philippine_NOUN	CPP_PROPN
Colombia_PROPN	Farc_PROPN
Algeria_PROPN	AQIM_INTJ
Mauritania_PROPN	AQIM_INTJ
Rwanda_PROPN	Fdlr_PROPN
India_PROPN	Cpi-m_PROPN
Yemen_PROPN	AQAP_PROPN
Sudan_PROPN	Splm_PROPN
Usa_PROPN	al-Qaida_PROPN
Afghanistan_PROPN	Taliban_PROPN
Libya_PROPN	Ntc_PROPN
Libya_PROPN	pro-Gaddafi_ADJ
israel_PROPN	Hamas_PROPN
Iraq_NOUN	Islamic::state_PROPN
Turkey_PROPN	Pkk_PROPN
Somalia_PROPN	al-Shabaab_PROPN
