Location	Insurgent
India_PROPN	Kashmiri_PROPN
Pakistan_PROPN	Imu_NOUN
Pakistan_PROPN	TTP_PROPN
Usa_PROPN	al-Qaida_PROPN
syria_PROPN	Syrians_NOUN
israel_PROPN	Hamas_PROPN
Ukraine_PROPN	Novorossiya_PROPN
Mali_PROPN	Cma_PROPN
Libya_PROPN	Zintan_PROPN
Azerbaijan_PROPN	Nagorno-Karabakh_PROPN
Ukraine_PROPN	Luhansk_PROPN
Ukraine_PROPN	Donetsk_PROPN
Colombia_PROPN	Farc_PROPN
Myanmar_PROPN	Kia_PROPN
Algeria_PROPN	AQIM_INTJ
Yemen_PROPN	AQAP_PROPN
Lebanon_PROPN	Islamic::state_PROPN
egypt_PROPN	al-Maqdis_PROPN
Pakistan_PROPN	Bla_PROPN
Pakistan_PROPN	Bra_PROPN
Philippine_NOUN	CPP_PROPN
Mali_PROPN	AQIM_INTJ
Uganda_PROPN	Adf_PROPN
Uganda_PROPN	Lra_PROPN
Afghanistan_PROPN	Taliban_PROPN
syria_PROPN	Islamic::state_PROPN
Sudan_PROPN	Srf_PROPN
Somalia_PROPN	al-Shabaab_PROPN
Iraq_NOUN	Islamic::state_PROPN
Congo_PROPN	Katanga_PROPN
India_PROPN	Cpi-m_PROPN
Philippine_NOUN	ASG_PROPN
Ukraine_PROPN	Maidan_PROPN
India_PROPN	Ndfb(_NOUN
russia_PROPN	Chechen_PROPN
