Location	Insurgent
Afghanistan_PROPN	Taliban_PROPN
India_PROPN	Kashmiri_PROPN
syria_PROPN	Syrians_NOUN
Turkey_PROPN	Pkk_PROPN
Pakistan_PROPN	Bla_PROPN
Pakistan_PROPN	Bra_PROPN
Somalia_PROPN	al-Shabaab_PROPN
Philippine_NOUN	ASG_PROPN
Mali_PROPN	Cma_PROPN
Philippine_NOUN	CPP_PROPN
russia_PROPN	Chechen_PROPN
India_PROPN	Cpi-m_PROPN
Yemen_PROPN	AQAP_PROPN
Usa_PROPN	al-Qaida_PROPN
Myanmar_PROPN	Kia_PROPN
Rwanda_PROPN	Fdlr_PROPN
Mali_PROPN	Ansar::Dine_PROPN
israel_PROPN	Hamas_PROPN
Iraq_NOUN	Islamic::state_PROPN
Algeria_PROPN	AQIM_INTJ
Colombia_PROPN	Farc_PROPN
syria_PROPN	PYD_PROPN
Congo_PROPN	m23_NOUN
Pakistan_PROPN	TTP_PROPN
Azerbaijan_PROPN	Nagorno-Karabakh_PROPN
