Location	Insurgent
Iraq_NOUN	Islamic::state_PROPN
Pakistan_PROPN	Bla_PROPN
Pakistan_PROPN	Bra_PROPN
Lebanon_PROPN	Islamic::state_PROPN
Libya_PROPN	Islamic::state_PROPN
Yemen_PROPN	AQAP_PROPN
Yemen_PROPN	Ansar::Allah_PROPN
Yemen_PROPN	Hadi_PROPN
Usa_PROPN	al-Qaida_PROPN
Algeria_PROPN	Islamic::state_PROPN
India_PROPN	Cpi-m_PROPN
Turkey_PROPN	Islamic::state_PROPN
russia_PROPN	Chechen_PROPN
Philippine_NOUN	CPP_PROPN
Myanmar_PROPN	Kia_PROPN
Mali_PROPN	Ansar::Dine_PROPN
Mali_PROPN	AQIM_INTJ
Azerbaijan_PROPN	Nagorno-Karabakh_PROPN
Pakistan_PROPN	TTP_PROPN
syria_PROPN	Syrians_NOUN
Turkey_PROPN	Pkk_PROPN
Nigeria_PROPN	Islamic::state_PROPN
russia_PROPN	Islamic::state_PROPN
Chad_NOUN	Islamic::state_PROPN
Somalia_PROPN	al-Shabaab_PROPN
Sudan_PROPN	Srf_PROPN
Niger_PROPN	Islamic::state_PROPN
syria_PROPN	Islamic::state_PROPN
Afghanistan_PROPN	Taliban_PROPN
Uganda_PROPN	Adf_PROPN
Cameroon_PROPN	Islamic::state_PROPN
Yemen_PROPN	Islamic::state_PROPN
India_PROPN	Kashmiri_PROPN
Philippine_NOUN	Milf_PROPN
Philippine_NOUN	ASG_PROPN
Ukraine_PROPN	Donetsk_PROPN
Ukraine_PROPN	Luhansk_PROPN
Ukraine_PROPN	Novorossiya_PROPN
Afghanistan_PROPN	Islamic::state_PROPN
egypt_PROPN	Islamic::state_PROPN
syria_PROPN	PYD_PROPN
Algeria_PROPN	AQIM_INTJ
Burundi_PROPN	Niyombare_NOUN
Burundi_PROPN	FPB_PROPN
Colombia_PROPN	Eln_PROPN
Colombia_PROPN	Farc_PROPN
Kenya_PROPN	al-Shabaab_PROPN
Mali_PROPN	Cma_PROPN
