Location	Insurgent
Afghanistan_PROPN	Hizb-e-Islami_PROPN
Afghanistan_PROPN	Taleban_PROPN
Algeria_PROPN	AQIM_PROPN
Algeria_PROPN	GIA_PROPN
Algeria_PROPN	Armed::Islamic::Group_PROPN
Angola_PROPN	UNITA_PROPN
Angola_PROPN	FLEC_PROPN
Bosnia-Herzegovina_PROPN	Serbian_PROPN
Bosnia-Herzegovina_PROPN	Croatian_PROPN
Burundi_PROPN	palipehutu-fnl_PROPN
Burundi_PROPN	CNDD_PROPN
Burundi_PROPN	FLN_PROPN
Cambodia_PROPN	Khmer::Rouge_PROPN
Cambodia_PROPN	FUNCINPEC_PROPN
Central::African::Republic_PROPN	Andre::Kolingba_PROPN
Central::African::Republic_PROPN	Francois::Bozize_PROPN
Chad_PROPN	CNR_PROPN
Chad_PROPN	MDJT_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Comoros_PROPN	Anjouan_PROPN
Congo_PROPN	Cobras_PROPN
Congo_PROPN	Congolese::Rally::for::Democracy_PROPN
Congo_PROPN	Movement::for::the::Liberation::of::Congo_PROPN
Congo_PROPN	Ninjas_PROPN
Congo_PROPN	Alliance::of::Democratic::Forces::for::the::Liberation::of::Congo-Zaire_PROPN
Croatia_PROPN	Krajina_PROPN
Egypt_PROPN	Jamaa::Islamiyya_PROPN
Ethiopia_PROPN	ONLF_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
Guatemala_PROPN	URNG_PROPN
Guinea_PROPN	UFDG_PROPN
India_PROPN	CPI_PROPN
India_PROPN	People::'s::Liberation::Army_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
India_PROPN	NLFT_PROPN
India_PROPN	People::'s::War::Group_PROPN
India_PROPN	MCC_PROPN
India_PROPN	NDFB_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	NSCN_PROPN
Indonesia_PROPN	Fretilin_PROPN
Indonesia_PROPN	Free::Aceh::Movement_PROPN
Iran_PROPN	MKO_PROPN
Iraq_PROPN	SCIRI_PROPN
Iraq_PROPN	Patriotic::Union::of::Kurdistan_PROPN
Israel_PROPN	PNA_PROPN
Israel_PROPN	Hezbollah_PROPN
Israel_PROPN	Hamas_PROPN
Israel_PROPN	Al-Aqsa::Martyrs::Brigades_PROPN
Israel_PROPN	PFLP_PROPN
Israel_PROPN	Fatah_PROPN
Israel_PROPN	PIJ_PROPN
Ivory::Coast_PROPN	MJP_PROPN
Ivory::Coast_PROPN	MPCI_PROPN
Ivory::Coast_PROPN	MPIGO_PROPN
Liberia_PROPN	MODEL_PROPN
Liberia_PROPN	LURD_PROPN
Macedonia_PROPN	Kosovo::Liberation::Army_PROPN
Mexico_PROPN	EZLN_PROPN
Mexico_PROPN	Popular::Revolutionary::Army_PROPN
Myanmar_PROPN	KNPP_PROPN
Myanmar_PROPN	UWSA_PROPN
Myanmar_PROPN	ABSDF_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Myanmar_PROPN	Mong::Tai::Army_PROPN
Myanmar_PROPN	NSCN_PROPN
Nepal_PROPN	CPN-M_PROPN
Niger_PROPN	FDR_PROPN
Niger_PROPN	CRA_PROPN
Pakistan_PROPN	MQM_PROPN
Papua::New::Guinea_PROPN	Bougainville::Revolutionary::Army_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Philippines_PROPN	MNLF_PROPN
Russia_PROPN	Chechens_PROPN
Russia_PROPN	Wahhabi_PROPN
Rwanda_PROPN	Interahamwe_PROPN
Rwanda_PROPN	Rwanda::Patriotic::Front_PROPN
Rwanda_PROPN	FDLR_PROPN
Senegal_PROPN	MFDC_PROPN
Serbia_PROPN	Kosovo::Liberation::Army_PROPN
Sierra::Leone_PROPN	AFRC_PROPN
Sierra::Leone_PROPN	WSB_PROPN
Sierra::Leone_PROPN	Kamajors_PROPN
Sierra::Leone_PROPN	Revolutionary::United::Front_PROPN
Somalia_PROPN	SRRC_PROPN
Somalia_PROPN	USC/SNA_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	National::Democratic::Alliance_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Sudan_PROPN	Justice::and::Equality::Movement_PROPN
Tajikistan_PROPN	United::Tajik::Opposition_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Allied::Democratic::Forces_PROPN
Uganda_PROPN	WNBF_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
Uganda_PROPN	UNRF_PROPN
United::Kingdom_PROPN	Real::IRA_PROPN
United::States::of::America_PROPN	al-Qaida_PROPN
Uzbekistan_PROPN	Islamic::Movement::of::Uzbekistan_PROPN
Zaire_PROPN	Alliance::of::Democratic::Forces::for::the::Liberation::of::Congo-Zaire_PROPN
Zaire_PROPN	Congolese::Rally::for::Democracy_PROPN
Zaire_PROPN	Movement::for::the::Liberation::of::Congo_PROPN
