Location	Insurgent
Afghanistan_PROPN	Hizb-e-Islami_PROPN
Afghanistan_PROPN	Taleban_PROPN
Algeria_PROPN	AQIM_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Ethiopia_PROPN	ONLF_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	CPI-M_PROPN
India_PROPN	NDFB_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
Iraq_PROPN	Islamic::State_PROPN
Israel_PROPN	PIJ_PROPN
Mauritania_PROPN	AQIM_PROPN
Myanmar_PROPN	DKBA_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Pakistan_PROPN	Tehrik-e-Taliban_PROPN
Pakistan_PROPN	Lashkar-e-Islam_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Rwanda_PROPN	FDLR_PROPN
Somalia_PROPN	Hizbul::Islam_PROPN
Somalia_PROPN	Al-Shabaab_PROPN
Sudan_PROPN	Justice::and::Equality::Movement_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Tajikistan_PROPN	Islamic::Movement::of::Uzbekistan_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Allied::Democratic::Forces_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
United::States::of::America_PROPN	al-Qaida_PROPN
Yemen_PROPN	AQAP_PROPN
