Location	Insurgent
Afghanistan_PROPN	Taleban_PROPN
Algeria_PROPN	GIA_PROPN
Algeria_PROPN	Armed::Islamic::Group_PROPN
Angola_PROPN	FLEC_PROPN
Burundi_PROPN	CNDD_PROPN
Cambodia_PROPN	Khmer::Rouge_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Congo_PROPN	Alliance::of::Democratic::Forces::for::the::Liberation::of::Congo-Zaire_PROPN
Egypt_PROPN	Jamaa::Islamiyya_PROPN
Ethiopia_PROPN	ONLF_PROPN
India_PROPN	People::'s::Liberation::Army_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
India_PROPN	People::'s::War::Group_PROPN
India_PROPN	NDFB_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	NSCN_PROPN
Iraq_PROPN	SCIRI_PROPN
Iraq_PROPN	Patriotic::Union::of::Kurdistan_PROPN
Israel_PROPN	Hezbollah_PROPN
Israel_PROPN	PNA_PROPN
Mexico_PROPN	Popular::Revolutionary::Army_PROPN
Myanmar_PROPN	KNPP_PROPN
Nepal_PROPN	CPN-M_PROPN
Pakistan_PROPN	MQM_PROPN
Papua::New::Guinea_PROPN	Bougainville::Revolutionary::Army_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Russia_PROPN	Chechens_PROPN
Rwanda_PROPN	Interahamwe_PROPN
Sierra::Leone_PROPN	Revolutionary::United::Front_PROPN
Somalia_PROPN	USC/SNA_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	National::Democratic::Alliance_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Tajikistan_PROPN	United::Tajik::Opposition_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Allied::Democratic::Forces_PROPN
Uganda_PROPN	WNBF_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
Zaire_PROPN	Alliance::of::Democratic::Forces::for::the::Liberation::of::Congo-Zaire_PROPN
