Location	Insurgent
Algeria_PROPN	AQIM_PROPN
Algeria_PROPN	GIA_PROPN
Angola_PROPN	UNITA_PROPN
Burundi_PROPN	palipehutu-fnl_PROPN
Burundi_PROPN	CNDD_PROPN
Chad_PROPN	MDJT_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Congo_PROPN	Congolese::Rally::for::Democracy_PROPN
Congo_PROPN	Movement::for::the::Liberation::of::Congo_PROPN
Congo_PROPN	Ninjas_PROPN
Ethiopia_PROPN	ONLF_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
India_PROPN	NLFT_PROPN
India_PROPN	People::'s::War::Group_PROPN
India_PROPN	MCC_PROPN
India_PROPN	NDFB_PROPN
India_PROPN	ULFA_PROPN
Indonesia_PROPN	Fretilin_PROPN
Indonesia_PROPN	Free::Aceh::Movement_PROPN
Iran_PROPN	MKO_PROPN
Israel_PROPN	Hezbollah_PROPN
Nepal_PROPN	CPN-M_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Russia_PROPN	Chechens_PROPN
Russia_PROPN	Wahhabi_PROPN
Rwanda_PROPN	Interahamwe_PROPN
Serbia_PROPN	Kosovo::Liberation::Army_PROPN
Sierra::Leone_PROPN	AFRC_PROPN
Sierra::Leone_PROPN	Revolutionary::United::Front_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	National::Democratic::Alliance_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Allied::Democratic::Forces_PROPN
Uzbekistan_PROPN	Islamic::Movement::of::Uzbekistan_PROPN
Zaire_PROPN	Congolese::Rally::for::Democracy_PROPN
Zaire_PROPN	Movement::for::the::Liberation::of::Congo_PROPN
