Location	Insurgent
Afghanistan_PROPN	Taleban_PROPN
Algeria_PROPN	AQIM_PROPN
Burundi_PROPN	palipehutu-fnl_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Ethiopia_PROPN	ONLF_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	CPI-M_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
Indonesia_PROPN	Free::Aceh::Movement_PROPN
Iran_PROPN	PJAK_PROPN
Iraq_PROPN	Ansar::al-Islam_PROPN
Iraq_PROPN	Islamic::State_PROPN
Israel_PROPN	Hamas_PROPN
Israel_PROPN	Fatah_PROPN
Israel_PROPN	PIJ_PROPN
Myanmar_PROPN	KNPP_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Myanmar_PROPN	NSCN_PROPN
Nepal_PROPN	CPN-M_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	MNLF_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Russia_PROPN	Chechens_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
United::States::of::America_PROPN	al-Qaida_PROPN
