Location	Insurgent
Algeria_PROPN	GIA_PROPN
Angola_PROPN	UNITA_PROPN
Angola_PROPN	FLEC_PROPN
Burundi_PROPN	palipehutu-fnl_PROPN
Burundi_PROPN	CNDD_PROPN
Cambodia_PROPN	Khmer::Rouge_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Congo_PROPN	Congolese::Rally::for::Democracy_PROPN
Congo_PROPN	Movement::for::the::Liberation::of::Congo_PROPN
Congo_PROPN	Ninjas_PROPN
Egypt_PROPN	Jamaa::Islamiyya_PROPN
Ethiopia_PROPN	ONLF_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	People::'s::Liberation::Army_PROPN
India_PROPN	People::'s::War::Group_PROPN
India_PROPN	NDFB_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
Indonesia_PROPN	Fretilin_PROPN
Israel_PROPN	Hezbollah_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Nepal_PROPN	CPN-M_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Rwanda_PROPN	Interahamwe_PROPN
Senegal_PROPN	MFDC_PROPN
Serbia_PROPN	Kosovo::Liberation::Army_PROPN
Sierra::Leone_PROPN	AFRC_PROPN
Sierra::Leone_PROPN	Kamajors_PROPN
Sierra::Leone_PROPN	Revolutionary::United::Front_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	National::Democratic::Alliance_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Tajikistan_PROPN	United::Tajik::Opposition_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Allied::Democratic::Forces_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
United::Kingdom_PROPN	Real::IRA_PROPN
Zaire_PROPN	Congolese::Rally::for::Democracy_PROPN
Zaire_PROPN	Movement::for::the::Liberation::of::Congo_PROPN
