Location	Insurgent
Afghanistan_PROPN	Hizb-e-Islami_PROPN
Afghanistan_PROPN	Taleban_PROPN
Algeria_PROPN	GIA_PROPN
Algeria_PROPN	Armed::Islamic::Group_PROPN
Angola_PROPN	UNITA_PROPN
Bosnia-Herzegovina_PROPN	Serbian_PROPN
Burundi_PROPN	CNDD_PROPN
Cambodia_PROPN	Khmer::Rouge_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Croatia_PROPN	Krajina_PROPN
Egypt_PROPN	Jamaa::Islamiyya_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
Guatemala_PROPN	URNG_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	People::'s::Liberation::Army_PROPN
India_PROPN	NSCN_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
Iraq_PROPN	SCIRI_PROPN
Iraq_PROPN	Patriotic::Union::of::Kurdistan_PROPN
Israel_PROPN	Hezbollah_PROPN
Israel_PROPN	PIJ_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Myanmar_PROPN	Mong::Tai::Army_PROPN
Myanmar_PROPN	NSCN_PROPN
Niger_PROPN	FDR_PROPN
Pakistan_PROPN	MQM_PROPN
Papua::New::Guinea_PROPN	Bougainville::Revolutionary::Army_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Russia_PROPN	Chechens_PROPN
Senegal_PROPN	MFDC_PROPN
Sierra::Leone_PROPN	Revolutionary::United::Front_PROPN
Somalia_PROPN	USC/SNA_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Tajikistan_PROPN	United::Tajik::Opposition_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
