Location	Insurgent
Afghanistan_PROPN	Hizb-e-Islami_PROPN
Algeria_PROPN	AQIM_PROPN
Algeria_PROPN	GIA_PROPN
Angola_PROPN	UNITA_PROPN
Angola_PROPN	FLEC_PROPN
Burundi_PROPN	palipehutu-fnl_PROPN
Burundi_PROPN	CNDD_PROPN
Central::African::Republic_PROPN	Francois::Bozize_PROPN
Chad_PROPN	MDJT_PROPN
Colombia_PROPN	ELN_PROPN
Colombia_PROPN	FARC_PROPN
Ethiopia_PROPN	ONLF_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
India_PROPN	NLFT_PROPN
India_PROPN	People::'s::War::Group_PROPN
India_PROPN	MCC_PROPN
India_PROPN	NDFB_PROPN
India_PROPN	ULFA_PROPN
Indonesia_PROPN	Free::Aceh::Movement_PROPN
Israel_PROPN	Hamas_PROPN
Israel_PROPN	Fatah_PROPN
Israel_PROPN	PNA_PROPN
Israel_PROPN	PIJ_PROPN
Israel_PROPN	Al-Aqsa::Martyrs::Brigades_PROPN
Ivory::Coast_PROPN	MPIGO_PROPN
Ivory::Coast_PROPN	MPCI_PROPN
Liberia_PROPN	LURD_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Nepal_PROPN	CPN-M_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Russia_PROPN	Chechens_PROPN
Rwanda_PROPN	FDLR_PROPN
Somalia_PROPN	SRRC_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Allied::Democratic::Forces_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
United::States::of::America_PROPN	al-Qaida_PROPN
