Location	Insurgent
Afghanistan_PROPN	Hizb-e-Islami_PROPN
Afghanistan_PROPN	Taleban_PROPN
Algeria_PROPN	AQIM_PROPN
Angola_PROPN	FLEC_PROPN
Colombia_PROPN	FARC_PROPN
Ethiopia_PROPN	ONLF_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	CPI-M_PROPN
India_PROPN	NDFB_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
Iran_PROPN	PJAK_PROPN
Iraq_PROPN	Islamic::State_PROPN
Israel_PROPN	PIJ_PROPN
Israel_PROPN	Hamas_PROPN
Mali_PROPN	AQIM_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Nigeria_PROPN	Boko::Haram_PROPN
Pakistan_PROPN	Tehrik-e-Taliban_PROPN
Pakistan_PROPN	Lashkar-e-Islam_PROPN
Pakistan_PROPN	Baluchistan::Liberation::Army_PROPN
Pakistan_PROPN	BRA_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Rwanda_PROPN	FDLR_PROPN
Somalia_PROPN	Hizbul::Islam_PROPN
Somalia_PROPN	Al-Shabaab_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	Justice::and::Equality::Movement_PROPN
Sudan_PROPN	Sudan::People::'s::Liberation::Army_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Lord::'s::Resistance::Army_PROPN
United::States::of::America_PROPN	al-Qaida_PROPN
Yemen_PROPN	AQAP_PROPN
