Location	Insurgent
Afghanistan_PROPN	Taleban_PROPN
Algeria_PROPN	AQIM_PROPN
Angola_PROPN	FLEC_PROPN
Chad_PROPN	UFDD_PROPN
Colombia_PROPN	FARC_PROPN
Congo_PROPN	CNDP_PROPN
Ethiopia_PROPN	ONLF_PROPN
Ethiopia_PROPN	Oromo::Liberation::Front_PROPN
India_PROPN	ULFA_PROPN
India_PROPN	CPI-M_PROPN
India_PROPN	Kashmir::Liberation::Front_PROPN
Iran_PROPN	PJAK_PROPN
Iraq_PROPN	Ansar::al-Islam_PROPN
Iraq_PROPN	al-Mahdi::Army_PROPN
Iraq_PROPN	Islamic::State_PROPN
Israel_PROPN	Hamas_PROPN
Israel_PROPN	Fatah_PROPN
Israel_PROPN	PIJ_PROPN
Myanmar_PROPN	Karen::National::Union_PROPN
Myanmar_PROPN	NSCN_PROPN
Niger_PROPN	MNJ_PROPN
Pakistan_PROPN	Tehrik-e-Taliban_PROPN
Pakistan_PROPN	Baluchistan::Liberation::Army_PROPN
Philippines_PROPN	Communist::Party::of::the::Philippines_PROPN
Philippines_PROPN	MNLF_PROPN
Philippines_PROPN	Abu::Sayyaf_PROPN
Philippines_PROPN	Moro::Islamic::Liberation::Front_PROPN
Russia_PROPN	Chechens_PROPN
Somalia_PROPN	Union::of::Islamic::Courts_PROPN
Somalia_PROPN	ARS_PROPN
Sri::Lanka_PROPN	LTTE_PROPN
Sudan_PROPN	Justice::and::Equality::Movement_PROPN
Sudan_PROPN	Sudan::Liberation::Movement_PROPN
Turkey_PROPN	PKK_PROPN
Uganda_PROPN	Allied::Democratic::Forces_PROPN
United::States::of::America_PROPN	al-Qaida_PROPN
Zaire_PROPN	CNDP_PROPN
